Building Name,Room Name,Capacity,Features,Technology,Tables/Chairs,Lighting,Video/Audio Equipment,Time Slot,Availability,Catering Allowed,Date
Husky Union Building (HUB),HUB 250,311,Conference room with high-speed internet access,"Projector, microphone","Tables, Chairs",Yes,"Audio System, Video Conference",10:00 AM - 11:00 AM,Available,No,2025-04-04
Husky Union Building (HUB),HUB 250,311,Conference room with high-speed internet access,"Projector, microphone","Tables, Chairs",Yes,"Audio System, Video Conference",11:00 AM - 12:00 PM,Available,No,2025-04-05
Husky Union Building (HUB),HUB 250,311,Conference room with high-speed internet access,"Projector, microphone","Tables, Chairs",Yes,"Audio System, Video Conference",12:00 PM - 1:00 PM,Available,No,2025-04-06
Husky Union Building (HUB),HUB 250,311,Conference room with high-speed internet access,"Projector, microphone","Tables, Chairs",Yes,"Audio System, Video Conference",1:00 PM - 2:00 PM,Available,No,2025-04-07
Husky Union Building (HUB),HUB 250,311,Conference room with high-speed internet access,"Projector, microphone","Tables, Chairs",Yes,"Audio System, Video Conference",2:00 PM - 3:00 PM,Available,No,2025-04-08
Meany Hall for the Performing Arts,Katharyn Alvord Gerlich Theater,92,Open-space venue for networking and events,"Projector, microphone","Tables, Chairs",Yes,"Audio System, Video Conference",9:00 AM - 10:00 AM,Available,No,2025-04-09
Meany Hall for the Performing Arts,Katharyn Alvord Gerlich Theater,92,Open-space venue for networking and events,"Projector, microphone","Tables, Chairs",Yes,"Audio System, Video Conference",10:00 AM - 11:00 AM,Available,No,2025-04-10
Meany Hall for the Performing Arts,Katharyn Alvord Gerlich Theater,92,Open-space venue for networking and events,"Projector, microphone","Tables, Chairs",Yes,"Audio System, Video Conference",11:00 AM - 12:00 PM,Available,No,2025-03-10
Meany Hall for the Performing Arts,Katharyn Alvord Gerlich Theater,92,Open-space venue for networking and events,"Projector, microphone","Tables, Chairs",Yes,"Audio System, Video Conference",12:00 PM - 1:00 PM,Available,No,2025-03-11
Meany Hall for the Performing Arts,Katharyn Alvord Gerlich Theater,92,Open-space venue for networking and events,"Projector, microphone","Tables, Chairs",Yes,"Audio System, Video Conference",1:00 PM - 2:00 PM,Available,No,2025-03-12
Meany Hall for the Performing Arts,Katharyn Alvord Gerlich Theater,92,Open-space venue for networking and events,"Projector, microphone","Tables, Chairs",Yes,"Audio System, Video Conference",2:00 PM - 3:00 PM,Available,No,2025-03-13
Meany Hall for the Performing Arts,Katharyn Alvord Gerlich Theater,92,Open-space venue for networking and events,"Projector, microphone","Tables, Chairs",Yes,"Audio System, Video Conference",9:00 AM - 10:00 AM,Available,No,2025-03-14
Meany Hall for the Performing Arts,Katharyn Alvord Gerlich Theater,92,Open-space venue for networking and events,"Projector, microphone","Tables, Chairs",Yes,"Audio System, Video Conference",10:00 AM - 11:00 AM,Available,No,2025-03-15
Meany Hall for the Performing Arts,Katharyn Alvord Gerlich Theater,92,Open-space venue for networking and events,"Projector, microphone","Tables, Chairs",Yes,"Audio System, Video Conference",11:00 AM - 12:00 PM,Available,No,2025-03-16
Meany Hall for the Performing Arts,Katharyn Alvord Gerlich Theater,92,Open-space venue for networking and events,"Projector, microphone","Tables, Chairs",Yes,"Audio System, Video Conference",12:00 PM - 1:00 PM,Available,No,2025-03-17
Meany Hall for the Performing Arts,Katharyn Alvord Gerlich Theater,92,Open-space venue for networking and events,"Projector, microphone","Tables, Chairs",Yes,"Audio System, Video Conference",1:00 PM - 2:00 PM,Available,No,2025-03-18
Meany Hall for the Performing Arts,Katharyn Alvord Gerlich Theater,92,Open-space venue for networking and events,"Projector, microphone","Tables, Chairs",Yes,"Audio System, Video Conference",2:00 PM - 3:00 PM,Available,No,2025-03-19
Meany Hall for the Performing Arts,Katharyn Alvord Gerlich Theater,92,Open-space venue for networking and events,"Projector, microphone","Tables, Chairs",Yes,"Audio System, Video Conference",9:00 AM - 10:00 AM,Available,No,2025-03-20
Meany Hall for the Performing Arts,Katharyn Alvord Gerlich Theater,92,Open-space venue for networking and events,"Projector, microphone","Tables, Chairs",Yes,"Audio System, Video Conference",10:00 AM - 11:00 AM,Available,No,2025-03-21
Meany Hall for the Performing Arts,Katharyn Alvord Gerlich Theater,92,Open-space venue for networking and events,"Projector, microphone","Tables, Chairs",Yes,"Audio System, Video Conference",11:00 AM - 12:00 PM,Available,No,2025-03-22
Meany Hall for the Performing Arts,Katharyn Alvord Gerlich Theater,92,Open-space venue for networking and events,"Projector, microphone","Tables, Chairs",Yes,"Audio System, Video Conference",12:00 PM - 1:00 PM,Available,No,2025-03-23
Meany Hall for the Performing Arts,Katharyn Alvord Gerlich Theater,92,Open-space venue for networking and events,"Projector, microphone","Tables, Chairs",Yes,"Audio System, Video Conference",1:00 PM - 2:00 PM,Available,No,2025-03-24
Meany Hall for the Performing Arts,Katharyn Alvord Gerlich Theater,92,Open-space venue for networking and events,"Projector, microphone","Tables, Chairs",Yes,"Audio System, Video Conference",2:00 PM - 3:00 PM,Available,No,2025-03-25
Meany Hall for the Performing Arts,Katharyn Alvord Gerlich Theater,92,Open-space venue for networking and events,"Projector, microphone","Tables, Chairs",Yes,"Audio System, Video Conference",9:00 AM - 10:00 AM,Available,No,2025-03-26
Meany Hall for the Performing Arts,Katharyn Alvord Gerlich Theater,92,Open-space venue for networking and events,"Projector, microphone","Tables, Chairs",Yes,"Audio System, Video Conference",10:00 AM - 11:00 AM,Available,No,2025-03-27
Meany Hall for the Performing Arts,Katharyn Alvord Gerlich Theater,92,Open-space venue for networking and events,"Projector, microphone","Tables, Chairs",Yes,"Audio System, Video Conference",11:00 AM - 12:00 PM,Available,No,2025-03-28
Meany Hall for the Performing Arts,Katharyn Alvord Gerlich Theater,92,Open-space venue for networking and events,"Projector, microphone","Tables, Chairs",Yes,"Audio System, Video Conference",12:00 PM - 1:00 PM,Available,No,2025-03-29
Meany Hall for the Performing Arts,Katharyn Alvord Gerlich Theater,92,Open-space venue for networking and events,"Projector, microphone","Tables, Chairs",Yes,"Audio System, Video Conference",1:00 PM - 2:00 PM,Available,No,2025-03-30
Meany Hall for the Performing Arts,Katharyn Alvord Gerlich Theater,92,Open-space venue for networking and events,"Projector, microphone","Tables, Chairs",Yes,"Audio System, Video Conference",2:00 PM - 3:00 PM,Available,No,2025-03-31
Meany Hall for the Performing Arts,Katharyn Alvord Gerlich Theater,92,Open-space venue for networking and events,"Projector, microphone","Tables, Chairs",Yes,"Audio System, Video Conference",9:00 AM - 10:00 AM,Available,No,2025-04-01
Meany Hall for the Performing Arts,Katharyn Alvord Gerlich Theater,92,Open-space venue for networking and events,"Projector, microphone","Tables, Chairs",Yes,"Audio System, Video Conference",10:00 AM - 11:00 AM,Available,No,2025-04-02
Meany Hall for the Performing Arts,Katharyn Alvord Gerlich Theater,92,Open-space venue for networking and events,"Projector, microphone","Tables, Chairs",Yes,"Audio System, Video Conference",11:00 AM - 12:00 PM,Available,No,2025-04-03
Meany Hall for the Performing Arts,Katharyn Alvord Gerlich Theater,92,Open-space venue for networking and events,"Projector, microphone","Tables, Chairs",Yes,"Audio System, Video Conference",12:00 PM - 1:00 PM,Available,No,2025-04-04
Meany Hall for the Performing Arts,Katharyn Alvord Gerlich Theater,92,Open-space venue for networking and events,"Projector, microphone","Tables, Chairs",Yes,"Audio System, Video Conference",1:00 PM - 2:00 PM,Available,No,2025-04-05
Meany Hall for the Performing Arts,Katharyn Alvord Gerlich Theater,92,Open-space venue for networking and events,"Projector, microphone","Tables, Chairs",Yes,"Audio System, Video Conference",2:00 PM - 3:00 PM,Available,No,2025-04-06
William H. Gates Hall,Classroom 138,421,Boardroom with large screen for presentations,"Projector, microphone","Tables, Chairs",Yes,"Audio System, Video Conference",9:00 AM - 10:00 AM,Available,No,2025-04-07
William H. Gates Hall,Classroom 138,421,Boardroom with large screen for presentations,"Projector, microphone","Tables, Chairs",Yes,"Audio System, Video Conference",10:00 AM - 11:00 AM,Available,No,2025-04-08
William H. Gates Hall,Classroom 138,421,Boardroom with large screen for presentations,"Projector, microphone","Tables, Chairs",Yes,"Audio System, Video Conference",11:00 AM - 12:00 PM,Available,No,2025-04-09
William H. Gates Hall,Classroom 138,421,Boardroom with large screen for presentations,"Projector, microphone","Tables, Chairs",Yes,"Audio System, Video Conference",12:00 PM - 1:00 PM,Available,No,2025-04-10
William H. Gates Hall,Classroom 138,421,Boardroom with large screen for presentations,"Projector, microphone","Tables, Chairs",Yes,"Audio System, Video Conference",1:00 PM - 2:00 PM,Available,No,2025-03-10
William H. Gates Hall,Classroom 138,421,Boardroom with large screen for presentations,"Projector, microphone","Tables, Chairs",Yes,"Audio System, Video Conference",2:00 PM - 3:00 PM,Available,No,2025-03-11
William H. Gates Hall,Classroom 138,421,Boardroom with large screen for presentations,"Projector, microphone","Tables, Chairs",Yes,"Audio System, Video Conference",9:00 AM - 10:00 AM,Available,No,2025-03-12
William H. Gates Hall,Classroom 138,421,Boardroom with large screen for presentations,"Projector, microphone","Tables, Chairs",Yes,"Audio System, Video Conference",10:00 AM - 11:00 AM,Available,No,2025-03-13
William H. Gates Hall,Classroom 138,421,Boardroom with large screen for presentations,"Projector, microphone","Tables, Chairs",Yes,"Audio System, Video Conference",11:00 AM - 12:00 PM,Available,No,2025-03-14
William H. Gates Hall,Classroom 138,421,Boardroom with large screen for presentations,"Projector, microphone","Tables, Chairs",Yes,"Audio System, Video Conference",12:00 PM - 1:00 PM,Available,No,2025-03-15
William H. Gates Hall,Classroom 138,421,Boardroom with large screen for presentations,"Projector, microphone","Tables, Chairs",Yes,"Audio System, Video Conference",1:00 PM - 2:00 PM,Available,No,2025-03-16
William H. Gates Hall,Classroom 138,421,Boardroom with large screen for presentations,"Projector, microphone","Tables, Chairs",Yes,"Audio System, Video Conference",2:00 PM - 3:00 PM,Available,No,2025-03-17
William H. Gates Hall,Classroom 138,421,Boardroom with large screen for presentations,"Projector, microphone","Tables, Chairs",Yes,"Audio System, Video Conference",9:00 AM - 10:00 AM,Available,No,2025-03-18
William H. Gates Hall,Classroom 138,421,Boardroom with large screen for presentations,"Projector, microphone","Tables, Chairs",Yes,"Audio System, Video Conference",10:00 AM - 11:00 AM,Available,No,2025-03-19
William H. Gates Hall,Classroom 138,421,Boardroom with large screen for presentations,"Projector, microphone","Tables, Chairs",Yes,"Audio System, Video Conference",11:00 AM - 12:00 PM,Available,No,2025-03-20
William H. Gates Hall,Classroom 138,421,Boardroom with large screen for presentations,"Projector, microphone","Tables, Chairs",Yes,"Audio System, Video Conference",12:00 PM - 1:00 PM,Available,No,2025-03-21
William H. Gates Hall,Classroom 138,421,Boardroom with large screen for presentations,"Projector, microphone","Tables, Chairs",Yes,"Audio System, Video Conference",1:00 PM - 2:00 PM,Available,No,2025-03-22
William H. Gates Hall,Classroom 138,421,Boardroom with large screen for presentations,"Projector, microphone","Tables, Chairs",Yes,"Audio System, Video Conference",2:00 PM - 3:00 PM,Available,No,2025-03-23
William H. Gates Hall,Classroom 138,421,Boardroom with large screen for presentations,"Projector, microphone","Tables, Chairs",Yes,"Audio System, Video Conference",9:00 AM - 10:00 AM,Available,No,2025-03-24
William H. Gates Hall,Classroom 138,421,Boardroom with large screen for presentations,"Projector, microphone","Tables, Chairs",Yes,"Audio System, Video Conference",10:00 AM - 11:00 AM,Available,No,2025-03-25
William H. Gates Hall,Classroom 138,421,Boardroom with large screen for presentations,"Projector, microphone","Tables, Chairs",Yes,"Audio System, Video Conference",11:00 AM - 12:00 PM,Available,No,2025-03-26
William H. Gates Hall,Classroom 138,421,Boardroom with large screen for presentations,"Projector, microphone","Tables, Chairs",Yes,"Audio System, Video Conference",12:00 PM - 1:00 PM,Available,No,2025-03-27
William H. Gates Hall,Classroom 138,421,Boardroom with large screen for presentations,"Projector, microphone","Tables, Chairs",Yes,"Audio System, Video Conference",1:00 PM - 2:00 PM,Available,No,2025-03-28
William H. Gates Hall,Classroom 138,421,Boardroom with large screen for presentations,"Projector, microphone","Tables, Chairs",Yes,"Audio System, Video Conference",2:00 PM - 3:00 PM,Available,No,2025-03-29
William H. Gates Hall,Classroom 138,421,Boardroom with large screen for presentations,"Projector, microphone","Tables, Chairs",Yes,"Audio System, Video Conference",9:00 AM - 10:00 AM,Available,No,2025-03-30
William H. Gates Hall,Classroom 138,421,Boardroom with large screen for presentations,"Projector, microphone","Tables, Chairs",Yes,"Audio System, Video Conference",10:00 AM - 11:00 AM,Available,No,2025-03-31
William H. Gates Hall,Classroom 138,421,Boardroom with large screen for presentations,"Projector, microphone","Tables, Chairs",Yes,"Audio System, Video Conference",11:00 AM - 12:00 PM,Available,No,2025-04-01
William H. Gates Hall,Classroom 138,421,Boardroom with large screen for presentations,"Projector, microphone","Tables, Chairs",Yes,"Audio System, Video Conference",12:00 PM - 1:00 PM,Available,No,2025-04-02
William H. Gates Hall,Classroom 138,421,Boardroom with large screen for presentations,"Projector, microphone","Tables, Chairs",Yes,"Audio System, Video Conference",1:00 PM - 2:00 PM,Available,No,2025-04-03
William H. Gates Hall,Classroom 138,421,Boardroom with large screen for presentations,"Projector, microphone","Tables, Chairs",Yes,"Audio System, Video Conference",2:00 PM - 3:00 PM,Available,No,2025-04-04
William H. Gates Hall,Classroom 138,421,Boardroom with large screen for presentations,"Projector, microphone","Tables, Chairs",Yes,"Audio System, Video Conference",9:00 AM - 10:00 AM,Available,No,2025-04-05
William H. Gates Hall,Classroom 138,421,Boardroom with large screen for presentations,"Projector, microphone","Tables, Chairs",Yes,"Audio System, Video Conference",10:00 AM - 11:00 AM,Available,No,2025-04-06
William H. Gates Hall,Classroom 138,421,Boardroom with large screen for presentations,"Projector, microphone","Tables, Chairs",Yes,"Audio System, Video Conference",11:00 AM - 12:00 PM,Available,No,2025-04-07
William H. Gates Hall,Classroom 138,421,Boardroom with large screen for presentations,"Projector, microphone","Tables, Chairs",Yes,"Audio System, Video Conference",12:00 PM - 1:00 PM,Available,No,2025-04-08
William H. Gates Hall,Classroom 138,421,Boardroom with large screen for presentations,"Projector, microphone","Tables, Chairs",Yes,"Audio System, Video Conference",1:00 PM - 2:00 PM,Available,No,2025-04-09
William H. Gates Hall,Classroom 138,421,Boardroom with large screen for presentations,"Projector, microphone","Tables, Chairs",Yes,"Audio System, Video Conference",2:00 PM - 3:00 PM,Available,No,2025-04-10
William H. Gates Hall,Classroom 138,421,Boardroom with large screen for presentations,"Projector, microphone","Tables, Chairs",Yes,"Audio System, Video Conference",9:00 AM - 10:00 AM,Available,No,2025-03-10
William H. Gates Hall,Classroom 138,421,Boardroom with large screen for presentations,"Projector, microphone","Tables, Chairs",Yes,"Audio System, Video Conference",10:00 AM - 11:00 AM,Available,No,2025-03-11
William H. Gates Hall,Classroom 138,421,Boardroom with large screen for presentations,"Projector, microphone","Tables, Chairs",Yes,"Audio System, Video Conference",11:00 AM - 12:00 PM,Available,No,2025-03-12
William H. Gates Hall,Classroom 138,421,Boardroom with large screen for presentations,"Projector, microphone","Tables, Chairs",Yes,"Audio System, Video Conference",12:00 PM - 1:00 PM,Available,No,2025-03-13
William H. Gates Hall,Classroom 138,421,Boardroom with large screen for presentations,"Projector, microphone","Tables, Chairs",Yes,"Audio System, Video Conference",1:00 PM - 2:00 PM,Available,No,2025-03-14
William H. Gates Hall,Classroom 138,421,Boardroom with large screen for presentations,"Projector, microphone","Tables, Chairs",Yes,"Audio System, Video Conference",2:00 PM - 3:00 PM,Available,No,2025-03-15
Gowen Hall,Room 301,164,Conference room with high-speed internet access,"Projector, microphone","Tables, Chairs",Yes,"Audio System, Video Conference",9:00 AM - 10:00 AM,Available,No,2025-03-16
Gowen Hall,Room 301,164,Conference room with high-speed internet access,"Projector, microphone","Tables, Chairs",Yes,"Audio System, Video Conference",10:00 AM - 11:00 AM,Available,No,2025-03-17
Gowen Hall,Room 301,164,Conference room with high-speed internet access,"Projector, microphone","Tables, Chairs",Yes,"Audio System, Video Conference",11:00 AM - 12:00 PM,Available,No,2025-03-18
Gowen Hall,Room 301,164,Conference room with high-speed internet access,"Projector, microphone","Tables, Chairs",Yes,"Audio System, Video Conference",12:00 PM - 1:00 PM,Available,No,2025-03-19
Gowen Hall,Room 301,164,Conference room with high-speed internet access,"Projector, microphone","Tables, Chairs",Yes,"Audio System, Video Conference",1:00 PM - 2:00 PM,Available,No,2025-03-20
Gowen Hall,Room 301,164,Conference room with high-speed internet access,"Projector, microphone","Tables, Chairs",Yes,"Audio System, Video Conference",2:00 PM - 3:00 PM,Available,No,2025-03-21
Gowen Hall,Room 301,164,Conference room with high-speed internet access,"Projector, microphone","Tables, Chairs",Yes,"Audio System, Video Conference",9:00 AM - 10:00 AM,Available,No,2025-03-22
Gowen Hall,Room 301,164,Conference room with high-speed internet access,"Projector, microphone","Tables, Chairs",Yes,"Audio System, Video Conference",10:00 AM - 11:00 AM,Available,No,2025-03-23
Gowen Hall,Room 301,164,Conference room with high-speed internet access,"Projector, microphone","Tables, Chairs",Yes,"Audio System, Video Conference",11:00 AM - 12:00 PM,Available,No,2025-03-24
Gowen Hall,Room 301,164,Conference room with high-speed internet access,"Projector, microphone","Tables, Chairs",Yes,"Audio System, Video Conference",12:00 PM - 1:00 PM,Available,No,2025-03-25
Gowen Hall,Room 301,164,Conference room with high-speed internet access,"Projector, microphone","Tables, Chairs",Yes,"Audio System, Video Conference",1:00 PM - 2:00 PM,Available,No,2025-03-26
Gowen Hall,Room 301,164,Conference room with high-speed internet access,"Projector, microphone","Tables, Chairs",Yes,"Audio System, Video Conference",2:00 PM - 3:00 PM,Available,No,2025-03-27
Gowen Hall,Room 301,164,Conference room with high-speed internet access,"Projector, microphone","Tables, Chairs",Yes,"Audio System, Video Conference",9:00 AM - 10:00 AM,Available,No,2025-03-28
Gowen Hall,Room 301,164,Conference room with high-speed internet access,"Projector, microphone","Tables, Chairs",Yes,"Audio System, Video Conference",10:00 AM - 11:00 AM,Available,No,2025-03-29
Gowen Hall,Room 301,164,Conference room with high-speed internet access,"Projector, microphone","Tables, Chairs",Yes,"Audio System, Video Conference",11:00 AM - 12:00 PM,Available,No,2025-03-30
Gowen Hall,Room 301,164,Conference room with high-speed internet access,"Projector, microphone","Tables, Chairs",Yes,"Audio System, Video Conference",12:00 PM - 1:00 PM,Available,No,2025-03-31
Gowen Hall,Room 301,164,Conference room with high-speed internet access,"Projector, microphone","Tables, Chairs",Yes,"Audio System, Video Conference",1:00 PM - 2:00 PM,Available,No,2025-04-01
Gowen Hall,Room 301,164,Conference room with high-speed internet access,"Projector, microphone","Tables, Chairs",Yes,"Audio System, Video Conference",2:00 PM - 3:00 PM,Available,No,2025-04-02
Gowen Hall,Room 301,164,Conference room with high-speed internet access,"Projector, microphone","Tables, Chairs",Yes,"Audio System, Video Conference",9:00 AM - 10:00 AM,Available,No,2025-04-03
Gowen Hall,Room 301,164,Conference room with high-speed internet access,"Projector, microphone","Tables, Chairs",Yes,"Audio System, Video Conference",10:00 AM - 11:00 AM,Available,No,2025-04-04
Gowen Hall,Room 301,164,Conference room with high-speed internet access,"Projector, microphone","Tables, Chairs",Yes,"Audio System, Video Conference",11:00 AM - 12:00 PM,Available,No,2025-04-05
Gowen Hall,Room 301,164,Conference room with high-speed internet access,"Projector, microphone","Tables, Chairs",Yes,"Audio System, Video Conference",12:00 PM - 1:00 PM,Available,No,2025-04-06
Gowen Hall,Room 301,164,Conference room with high-speed internet access,"Projector, microphone","Tables, Chairs",Yes,"Audio System, Video Conference",1:00 PM - 2:00 PM,Available,No,2025-04-07
Gowen Hall,Room 301,164,Conference room with high-speed internet access,"Projector, microphone","Tables, Chairs",Yes,"Audio System, Video Conference",2:00 PM - 3:00 PM,Available,No,2025-04-08
Gowen Hall,Room 301,164,Conference room with high-speed internet access,"Projector, microphone","Tables, Chairs",Yes,"Audio System, Video Conference",9:00 AM - 10:00 AM,Available,No,2025-04-09
Gowen Hall,Room 301,164,Conference room with high-speed internet access,"Projector, microphone","Tables, Chairs",Yes,"Audio System, Video Conference",10:00 AM - 11:00 AM,Available,No,2025-04-10
Gowen Hall,Room 301,164,Conference room with high-speed internet access,"Projector, microphone","Tables, Chairs",Yes,"Audio System, Video Conference",11:00 AM - 12:00 PM,Available,No,2025-03-10
Gowen Hall,Room 301,164,Conference room with high-speed internet access,"Projector, microphone","Tables, Chairs",Yes,"Audio System, Video Conference",12:00 PM - 1:00 PM,Available,No,2025-03-11
Gowen Hall,Room 301,164,Conference room with high-speed internet access,"Projector, microphone","Tables, Chairs",Yes,"Audio System, Video Conference",1:00 PM - 2:00 PM,Available,No,2025-03-12
Gowen Hall,Room 301,164,Conference room with high-speed internet access,"Projector, microphone","Tables, Chairs",Yes,"Audio System, Video Conference",2:00 PM - 3:00 PM,Available,No,2025-03-13
Smith Hall,Room 105,132,Lecture hall with stadium seating,"Projector, microphone","Tables, Chairs",Yes,"Audio System, Video Conference",9:00 AM - 10:00 AM,Available,Yes,2025-03-14
Smith Hall,Room 105,132,Lecture hall with stadium seating,"Projector, microphone","Tables, Chairs",Yes,"Audio System, Video Conference",10:00 AM - 11:00 AM,Available,Yes,2025-03-15
Smith Hall,Room 105,132,Lecture hall with stadium seating,"Projector, microphone","Tables, Chairs",Yes,"Audio System, Video Conference",11:00 AM - 12:00 PM,Available,Yes,2025-03-16
Smith Hall,Room 105,132,Lecture hall with stadium seating,"Projector, microphone","Tables, Chairs",Yes,"Audio System, Video Conference",12:00 PM - 1:00 PM,Available,Yes,2025-03-17
Smith Hall,Room 105,132,Lecture hall with stadium seating,"Projector, microphone","Tables, Chairs",Yes,"Audio System, Video Conference",1:00 PM - 2:00 PM,Available,Yes,2025-03-18
Smith Hall,Room 105,132,Lecture hall with stadium seating,"Projector, microphone","Tables, Chairs",Yes,"Audio System, Video Conference",2:00 PM - 3:00 PM,Available,Yes,2025-03-19
Smith Hall,Room 105,132,Lecture hall with stadium seating,"Projector, microphone","Tables, Chairs",Yes,"Audio System, Video Conference",9:00 AM - 10:00 AM,Available,Yes,2025-03-20
Smith Hall,Room 105,132,Lecture hall with stadium seating,"Projector, microphone","Tables, Chairs",Yes,"Audio System, Video Conference",10:00 AM - 11:00 AM,Available,Yes,2025-03-21
Smith Hall,Room 105,132,Lecture hall with stadium seating,"Projector, microphone","Tables, Chairs",Yes,"Audio System, Video Conference",11:00 AM - 12:00 PM,Available,Yes,2025-03-22
Smith Hall,Room 105,132,Lecture hall with stadium seating,"Projector, microphone","Tables, Chairs",Yes,"Audio System, Video Conference",12:00 PM - 1:00 PM,Available,Yes,2025-03-23
Smith Hall,Room 105,132,Lecture hall with stadium seating,"Projector, microphone","Tables, Chairs",Yes,"Audio System, Video Conference",1:00 PM - 2:00 PM,Available,Yes,2025-03-24
Smith Hall,Room 105,132,Lecture hall with stadium seating,"Projector, microphone","Tables, Chairs",Yes,"Audio System, Video Conference",2:00 PM - 3:00 PM,Available,Yes,2025-03-25
Smith Hall,Room 105,132,Lecture hall with stadium seating,"Projector, microphone","Tables, Chairs",Yes,"Audio System, Video Conference",9:00 AM - 10:00 AM,Available,Yes,2025-03-26
